author_id,created_at,text
115731,15_05_2022_18_30,"@ChipotleTweets I had excellent service tonight too! Plenty of people on the line, went very fast, everyone was kind!"
ChipotleTweets,15_05_2022_18_30,@115731 It's because you're smart. -Tara
115731,15_05_2022_18_30,When you're the only one in costume #boorito @ChipotleTweets
ChipotleTweets,15_05_2022_18_30,@115732 That's incredibly concerning. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky
115732,15_05_2022_18_30,@ChipotleTweets no Diet Coke and a literal bone this Boorito was extra spooky! https://t.co/C4oCCtdUct
ChipotleTweets,15_05_2022_18_30,@115733 Nope! Still just the $3. -Becky
115733,15_05_2022_18_30,"@ChipotleTweets If you get queso or quac on you're bowl, its extra?"
ChipotleTweets,15_05_2022_18_30,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z
ChipotleTweets,15_05_2022_18_30,"@115734 I mean, Boorito is basically the adult version of Halloween... -Becky"
115734,15_05_2022_18_30,"Happy Halloween! Since I'm too old to trick or treat I now look forward to $3 booritos at @ChipotleTweets 👻 I got mine earlier, did you?"
ChipotleTweets,15_05_2022_18_30,@115735 I'm so glad we could help. Who did you work with? I'd like to share the praise. -Becky
115735,15_05_2022_18_30,@ChipotleTweets Thank you @ChipotleTweets for resolving my issue so quickly!! Y’all are the best ☺️ #fanforlife
115735,15_05_2022_18_30,So frustrated with @ChipotleTweets 😡 Ordered dinner on Saturday using their app. Order was wrong AND they charged my credit card twice
ChipotleTweets,15_05_2022_18_30,@115736 All of our U.S. locations are participating! -Becky
115736,15_05_2022_18_30,"Btw @ChipotleTweets giving out $3 burritos if you dress up for Halloween 🎃 Call your Chipotle to make sure, they’re doing it @ select ones"
ChipotleTweets,15_05_2022_18_30,@115737 My apologies for that. Just sent you a DM to help. -Becky
115737,15_05_2022_18_30,"@ChipotleTweets Tried, didn't work. How rude :/"
ChipotleTweets,15_05_2022_18_30,@115737 Give it a try. -Tara
115737,15_05_2022_18_30,@ChipotleTweets can I dress up as myself and still qualify for a BOORITO?
ChipotleTweets,15_05_2022_18_30,"@115738 That's the best kind of trick-or-treating. All treats, my friend. -Becky"
115738,15_05_2022_18_30,"Every year, my trick-or-treating routine is walking to Chipotle, spending 3 dollars and walking back home. @ChipotleTweets"
ChipotleTweets,15_05_2022_18_30,@115739 That's incredibly concerning. Please provide more details so we can investigate: https://t.co/Ax7W1Dx3Y9 -Becky
115739,15_05_2022_18_30,@ChipotleTweets this is nasty. A used napkin in someone's food https://t.co/EkWiD9vhnr
ChipotleTweets,15_05_2022_18_30,@115740 Bummer. I'm so sorry. How far away is the closest location? -Becky
115740,15_05_2022_18_30,$3 burritos and I’m nowhere near a @ChipotleTweets 🤦🏾‍♂️
ChipotleTweets,15_05_2022_18_30,@115741 Noted 😊 -Becky
115741,15_05_2022_18_30,@ChipotleTweets Also I got the onesie at target. So cozy
115741,15_05_2022_18_30,@ChipotleTweets Thanks Becky! Just feeling sorry for myself because my fiancé is driving from D.C. To Mississippi tonight
ChipotleTweets,15_05_2022_18_30,"@115741 You won't be alone – we'll be there with you. Also, I want that llama onesie. -Becky"
115741,15_05_2022_18_30,Considering walking to @ChipotleTweets in my llama onesie alone happy Halloween 😭
ChipotleTweets,15_05_2022_18_30,@115742 I love it! Thanks so much for stopping by. -Becky
115742,15_05_2022_18_30,@ChipotleTweets name a better halloween duo #speedwaybrick #UTtranscript https://t.co/5ShDRMlC1T
AskPlayStation,15_05_2022_18_30,@115743 There is no info to share at the moment. Feel free to keep an eye on the PS Blog for news and updates: https://t.co/aLtfBAztyC
115744,15_05_2022_18_30,@AskPlayStation @115743 Can I get help already??
115743,15_05_2022_18_30,"@AskPlayStation So, what's the november ps plus free game?"
AskPlayStation,15_05_2022_18_30,"@115745  Glad to know that is downloading, please feel free to contact us if you have further concerns."
115745,15_05_2022_18_30,@AskPlayStation It was when I would go to download it. I just waited a few hours till after I bought it and it downloaded now.
AskPlayStation,15_05_2022_18_30,@115745 Sorry for the inconvenience. Do you see the data corrupted message when you try to open the game or download it?
115745,15_05_2022_18_30,@AskPlayStation I bought Lego Star Wars in the PlayStation store but it won't let me download it because the data is corrupted..
AskPlayStation,15_05_2022_18_30,@115746  Glad to help.  Please share the details of this issue in our Community forum for further investigation: https://t.co/F3J4l2vJHb
115746,15_05_2022_18_30,@AskPlayStation can i block a community from sending me invites to something i dont want to join
marksandspencer,15_05_2022_18_30,"@115747 Glad you had fun, Sarah! We heard Count Collin can really suck the life out of the party  . . . :P"
115747,15_05_2022_18_30,We had to have a Count Colin 💛 @marksandspencer xx... https://t.co/HVWkevFsKB
marksandspencer,15_05_2022_18_30,"@115748 We've let our team know we can do better, Joel. Thanks for sharing :)"
115748,15_05_2022_18_30,"‘Ere @marksandspencer, never mind avocado 🥑 - How’s about ‘ave a word?
Is it really necessary? 

The pair of ‘em were suffocating. https://t.co/ff2bmOVido"
marksandspencer,15_05_2022_18_30,"@115749 We're only obligated to provide bags for un-packaged meat. As ours is prepackaged, a charge will be applied"
115749,15_05_2022_18_30,@marksandspencer Raw meat!!!! It’s does not say unwrapped raw meat!!! Sainsbury’s don’t charge nor do Waitrose so y do you?!
marksandspencer,15_05_2022_18_30,"@115749 As our packaging is sufficient, any extra wrappings or bags does require an extra 5p charge as per legislation. Thanks"
115749,15_05_2022_18_30,@marksandspencer I check with the Gov office and legal. They stated you are not right. But it’s funny how the other stores don’t but you do. No wonder Lidl and the rest are beating you.
115749,15_05_2022_18_30,"@marksandspencer ou must charge at least 5p a bag (including VAT) for carrier bags that are all of the following:

unused - it’s new and hasn’t already been used for sold goods to be taken away or delivered
plastic and 70 microns thick or less
it has handles, an opening and isn’t sealed"
115749,15_05_2022_18_30,"@marksandspencer aren’t require charge 4 a bag:
paper bags
shops in airports, or on board trains, aeroplanes or ships
bags which only contain certain items, such as unwrapped food, raw meat and fish where there is a food safety risk, prescription medicines, uncovered blades, seeds, bulbs &amp; 🌷s"
115749,15_05_2022_18_30,@marksandspencer y do they charge you for a meat bag at colliers woods branch. If you buy meat you r required to supply customers a free bag. Poor service.
marksandspencer,15_05_2022_18_30,@115750 Love the aesthetic of your Colin the 'Creeperpillar' and someday.... 🐛🦋👻 https://t.co/LFubix5E4y
115750,15_05_2022_18_30,Excellent Halloweening @marksandspencer 👌🏼 #countcolin #halloween #food https://t.co/lq1cSooHdj
MicrosoftHelps,15_05_2022_18_30,"@115751 Hello, Josh! To get better assistance and support, we suggest that you post a tweet or DM our friends from @XboxSupport."
115751,15_05_2022_18_30,"@MicrosoftHelps @XboxSupport Brilliant, thank you!"
115751,15_05_2022_18_30,"@MicrosoftHelps hi, having trouble making purchases on Xbox one store for fifa points, can you help?"
MicrosoftHelps,15_05_2022_18_30,@115752 Help is here. To assist you in recovering your account we recommend that you contact our Answer desk team: https://t.co/7zSM1QXPMD.
115752,15_05_2022_18_30,@MicrosoftHelps I need assistance recovering 2 hotmail accounts. I have  filled the recovery forms but am told am not providing enough info
ATVIAssist,15_05_2022_18_30,@115753 It appears this has been removed. Thanks for letting me know :) ^MB
115753,15_05_2022_18_30,@ATVIAssist @115754 umm someone is streaming WWII with 500+ viewers https://t.co/AhBT7AZZSz
ATVIAssist,15_05_2022_18_30,"@115755  No problem, let us know if you come across any other issues or questions in the future. We are happy to help. ^RK"
115756,15_05_2022_18_30,@ATVIAssist @115755 I'm trying to buy the digital deluxe edition on the ps store but I keep receiving an error message
ATVIAssist,15_05_2022_18_30,@115756  Hello there. Sorry for the late response. I am just checking if you still in need assistance. Please let me know. ^RN
115755,15_05_2022_18_30,@ATVIAssist Thanks
ATVIAssist,15_05_2022_18_30,@115755 Yes you can pre order the game on the console store. For more information please contact your console store. ^RK
115755,15_05_2022_18_30,@ATVIAssist can you still pre oder ww2 on the playstation store
ATVIAssist,15_05_2022_18_30,"@115757 Good afternoon William, unfortunately this app is no longer supported. Sincerest apologies. ^JP"
115757,15_05_2022_18_30,@115758 @ATVIAssist Are yous going to update COD Zombies on IOS for IOS 11.
ATVIAssist,15_05_2022_18_30,"@115759 Good afternoon Jayden, sadly we don't have information on that. Sincerest apologies. ^JP"
115759,15_05_2022_18_30,@115758 Why was there a half gig update for world at war?
ATVIAssist,15_05_2022_18_30,@115760 This is awesome! Thank you so much for the support! Love the costumes! ^TV
115760,15_05_2022_18_30,@108162 @115761 @ATVIAssist tried that there was people so i came back
ATVIAssist,15_05_2022_18_30,@115762 Hey there! You can check out this link for more information in regards to this - https://t.co/OZIlONCLtF ^KO
115762,15_05_2022_18_30,"@ATVIAssist So, when I go get the game on friday my 2xp code will be on the receipt?"
ATVIAssist,15_05_2022_18_30,@115762 Did gamestop give you a code with your pre order down payment that you needed to redeem? ^KO
115762,15_05_2022_18_30,"@ATVIAssist Yes, the beta code"
ATVIAssist,15_05_2022_18_30,"@115762 Have you redeemed that on your https://t.co/4YBn633EOk account? Even tho it says beta code, your pre order bonus are linked. ^KO"
115762,15_05_2022_18_30,"@ATVIAssist Yes I have, so my code is on their?"
115762,15_05_2022_18_30,@ATVIAssist I pre ordered my game at game stop
ATVIAssist,15_05_2022_18_30,"@115762 Hello there, I apologize for the delay. Can you clarify where you pre-ordered the game? Please be sure you keep us updated. ^RN"
115762,15_05_2022_18_30,@ATVIAssist For double xp^
115762,15_05_2022_18_30,@ATVIAssist i pre ordered wwii but how do i get the code?
ATVIAssist,15_05_2022_18_30,@115763 Can you please give me your gamertag / platform you're playing on so I can pull up your account information. ^CB
115763,15_05_2022_18_30,@ATVIAssist Seth_tubbs and I am on PS4
115763,15_05_2022_18_30,@ATVIAssist I got all of my stats reset on MWR and I don't know why. please help!!!
ATVIAssist,15_05_2022_18_30,"@115764

Unfortunately we don't have any information on this. Please stay tuned for more updates. ^JW"
115764,15_05_2022_18_30,"@115754 @115765 @ATVIAssist @115766 

Will non season pass holders get the bobus man Carentan at any point? Or not at all?"
AdobeCare,15_05_2022_18_30,@115767 Sorry that this isn't more simple... let us know if the steps in the video work out or if you need further help ^Madison
115767,15_05_2022_18_30,"@AdobeCare Didn't work. Tried it on another computer, fresh install, same thing..."
AdobeCare,15_05_2022_18_30,@115767 Would you please DM the Adobe Product &amp; your purchase details that you have so that we can ask our experts to follow up. ^Raj https://t.co/iuwZCjz4Or
115767,15_05_2022_18_30,@AdobeCare sure thing
115767,15_05_2022_18_30,@AdobeCare the ctrl+alt+shift on load method didn't work. (2/2)
AdobeCare,15_05_2022_18_30,"@115767 Hi Jason, could you please try resetting the preferences of Photoshop &amp; let us know if it helps with the issue https://t.co/j3Dj2HDknM   ^SC"
115767,15_05_2022_18_30,@AdobeCare Pretty much explained my issue in the quoted tweet... dragging an image onto a canvas no longer center snaps it...
AdobeCare,15_05_2022_18_30,"@115767 Hi Jason, please let us know if there is anything we can do to help. Thanks! ^AJ https://t.co/iuwZCjz4Or"
115767,15_05_2022_18_30,Any help here @AdobeCare? https://t.co/x50e57UG4E
AdobeCare,15_05_2022_18_30,"@115768 Hi Jeffrey, were you able to update to Lightroom Classic CC?   ^Tanuj"
115768,15_05_2022_18_30,@AdobeCare nope still down.
AdobeCare,15_05_2022_18_30,@115768 Have you tried signing out/back in or reinstalling the CC desktop app? https://t.co/Ne2f7tDTM0 Let us know! ^Madison
115768,15_05_2022_18_30,@AdobeCare yes ive done that multiple times. its happened on previous versions as well.
AdobeCare,15_05_2022_18_30,@115768 Thanks for confirming. We're looping in an expert who can help you out here. They will reply as soon as they're available. ^Madison
115768,15_05_2022_18_30,@AdobeCare ok
115768,15_05_2022_18_30,@AdobeCare so..when are they available?
AdobeCare,15_05_2022_18_30,@115768 Sorry for this. Let me request the expert to look into this ASAP as he is in office. ^Raj
115768,15_05_2022_18_30,@AdobeCare ok. its been very frustrating. i have multiple jobs that i need finished and your application isnt helping.
AdobeCare,15_05_2022_18_30,"@115768 Hi Jeffrey, we wanted to check if you had managed to install Lightroom Classic CC. Please let us know if you need further assistance. ^NR https://t.co/iuwZCjz4Or"
115768,15_05_2022_18_30,@AdobeCare no its still broken. i deleted it and will probably be getting rid of my membership and return when its working properly. thanks
AdobeCare,15_05_2022_18_30,@115768 Jeffrey did you use the process listed in https://t.co/ccvXXUvXuT to delete Lightroom Classic CC? ^Jeff
115768,15_05_2022_18_30,@AdobeCare ill just wait for the next big update. ive wasted my time and patience with adobe products
AdobeCare,15_05_2022_18_30,@115768 Jeffrey I am sorry to hear that. If you face future errors please review the installation logs. https://t.co/okPwBIqSxR ^Jeff
115768,15_05_2022_18_30,@AdobeCare yea ive done everything you guys told me to do. i know its not my mac either as i have the retina imac which is fairly new.
AdobeCare,15_05_2022_18_30,"@115768 Hi there, I am looping our expert team to help answer your question. Thanks! ^MC"
115768,15_05_2022_18_30,@AdobeCare you guys have been saying that for weeks now. your product went from being great to now unable to work and terrible. very disappointed.
115768,15_05_2022_18_30,@115769 whats going on with your app. its totally stuck here for 1 hour and prior to updating froze and didnt work since updating. https://t.co/UpoCzPNqFb
AmazonHelp,15_05_2022_18_30,@115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET
115770,15_05_2022_18_30,"@AmazonHelp ありがとうございます。
今、電話で主人が対応していただいてます。"
115770,15_05_2022_18_30,"@AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。"
AmazonHelp,15_05_2022_18_30,@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET
115770,15_05_2022_18_30,@AmazonHelp こちらこそありがとうございました。
AmazonHelp,15_05_2022_18_30,@115770 恐れ入ります。至らない点も多々あるかとは存じますが、今後ともどうぞよろしくお願いします。ET
115770,15_05_2022_18_30,amazonのfireTVstickが見れない😢
XboxSupport,15_05_2022_18_30,"@115771 Hi, you can change your Microsoft account email through the steps here: https://t.co/DkEhOHbOYy . If the email your son wants to change to is already associated with a Microsoft account, you'll need to follow those steps to switch the email address on that account too. ^ZM"
115771,15_05_2022_18_30,"@XboxSupport can I change me sons Xbox live account to his Hotmail account, currently linked to my Hotmail account"
AdobeCare,15_05_2022_18_30,"@115772 Hi there, Lightroom 7.0.1 update was launched recently, please update the app to the latest version.  ^TS"
115772,15_05_2022_18_30,@115769 Did u release an update today for Lightroom Classic CC?
AdobeCare,15_05_2022_18_30,"@115773 Hi there, please DM us you Adobe id so that we may have a quick look at your account details.   ^Tanuj https://t.co/iuwZCjz4Or"
115773,15_05_2022_18_30,"Please tell me why my @115769 has expired, but I’m still being charged????"
AdobeCare,15_05_2022_18_30,"@115774 Hi there, you may suggest it as a feature request at: https://t.co/SE1u3g161W .  ^Tanuj"
115774,15_05_2022_18_30,@115769 are there any plans to add a fast crop mode for the iPad version of LR? It takes too many taps and slows down workflow.
AdobeCare,15_05_2022_18_30,"@115775 Thanks for sharing the file, we'll get back to you with updates as we investigate. ^Wren"
115775,15_05_2022_18_30,"@AdobeCare @115776 It’s intermittent for me. This file fails reliably: https://t.co/6m5a1RQEV9

The “Create subfolder” option just makes an empty “svg” folder"
AdobeCare,15_05_2022_18_30,"@115776 Unfortunately, we are not able to reproduce it at our end. I'll still be checking with the development team to find out more on this. ^OM https://t.co/3giRhN4vNJ"
115776,15_05_2022_18_30,"@AdobeCare Seems pretty widespread: https://t.co/ImomzTHO5j

Don't mean to be a jerk, but it's frustrating when an update breaks core functionality."
AdobeCare,15_05_2022_18_30,"@115776 Hi Keelin,
Sorry for the inconvenience. I am able to export SVG in AI CC 2018. Would you mind sharing your workflow, sample file/screenshot? https://t.co/iuwZCjz4Or"
115776,15_05_2022_18_30,So apparently the new version of @115777 @115778 has this cool feature where you can't export SVGs. Sick update guys.
AdobeCare,15_05_2022_18_30,"@115779 Hi Duncan, please update Lightroom to 6.13 from the following link: https://t.co/9vaI2tzHd6 .  ^Tanuj"
115779,15_05_2022_18_30,@115769 I'm worried as if I update my LR6 standalone programme I could lose it due to the new online version....is this true and if so is this fair!
115769,15_05_2022_18_30,"Whoa! Come along with Lightroom’s own Ben Warde to get the lowdown: https://t.co/f1FGfdJaNk
https://t.co/6fsIV6WLRV"
AdobeCare,15_05_2022_18_30,"@115780 Hi Lauren, can you try changing your forum screen name at https://t.co/gF69gbjWAQ? That should do the trick! ^Madison"
115780,15_05_2022_18_30,@115777 your online forum is always broken even when I clear my cookies. https://t.co/dDwRPWnm3t
AdobeCare,15_05_2022_18_30,"@115781 Hi Jake, any screenshots you can share? What are you export settings? Is this happening on all files with links? ^Wren"
115781,15_05_2022_18_30,"@AdobeCare Here is an example of an export before and after. Export settings are unchanged from default. No, only some files. https://t.co/YbCX6dmddc"
AdobeCare,15_05_2022_18_30,"@115781 Hi Jack, is there any way you could send me a file to try exporting on my end to try and replicate? ^Wren https://t.co/iuwZCjz4Or"
AdobeCare,15_05_2022_18_30,"@115781 Hi Jack, we're looping the expert back into this conversation. Thanks! ^AJ"
115781,15_05_2022_18_30,@AdobeCare Solved this via phone support
115781,15_05_2022_18_30,"@AdobeCare InDesign 13.0 is exporting all PDFs with blurry links, but links are not missing in INDD file. JPG export is not blurry. Help!"
AirbnbHelp,15_05_2022_18_30,@115782 Thank you for that. We have responded to your DM with more information.
115782,15_05_2022_18_30,@AirbnbHelp I've just sent you a message with details. Thanks for your help
AirbnbHelp,15_05_2022_18_30,"@115782 Hi there, we would like to help. Please DM us your account's email and reservation code so we can further assist. Thank you."
115782,15_05_2022_18_30,"Quand ton @115783 ne ressemble pas à celui que tu as réservé, &amp; qu'en + d'être sale et en sous-sol, tu te retrouves à 10 dans 1 #logement ! https://t.co/BcEIHe38tq"
AirbnbHelp,15_05_2022_18_30,@115784 We are sorry to hear this. Please DM your email address and reservation code so we can look into this for you. Thank you.
115784,15_05_2022_18_30,@115783 Misrepresentation by host. Asked them to cancel my reservation and refund me over AUD1700 - strict policy. No response. Please help.
XboxSupport,15_05_2022_18_30,@115785 Hi there! We'd recommend reaching out to the chat team here: https://t.co/UrUi80i54l ^JA
115785,15_05_2022_18_30,@XboxSupport They have no info either..
XboxSupport,15_05_2022_18_30,@115785 We'd recommend keeping an eye out on your email that is associated with your account for further info.  ^JA
115785,15_05_2022_18_30,@XboxSupport Lol so there's no one @115786 who can say when they're going to be shipped...? That's kinda weird
115785,15_05_2022_18_30,@XboxSupport @115786 When someone @115786 or @15913 @115787 @115788 knows when the xbox one x ships let us know.  Lol shouldn't b a mystery..
XboxSupport,15_05_2022_18_30,"@115785 @115786 Did you pre-order this console via the Microsoft store? If so, then let's have you reach out here: https://t.co/jY7fDjTzLd ^JA"
115785,15_05_2022_18_30,"@XboxSupport @115786 Kinda need to make sure I have 680$ cdn in my bank, so would be nice to know.. I dun just have cash laying around ya know #RealLifeStruggles"
115785,15_05_2022_18_30,@XboxSupport @115786 Already did they had me call and no one can answer the question.  I'm not trying to be a jerk but it's nuts no one has a answer..
115785,15_05_2022_18_30,@XboxSupport @115786 @115787 @15913 Would like to know so I can make sure I have enough money for it...
115785,15_05_2022_18_30,@XboxSupport @115786 @115787 @15913 can anyone let me know when our pre orders are going to be shipped for xbox one x??
XboxSupport,15_05_2022_18_30,@115789 Hello! Would you mind following us and sending a DM with your gamertag and the code you redeemed?  ^RR
115789,15_05_2022_18_30,@115790 @XboxSupport redeemed a code for fifa points this afternoon and still haven't got it. Why is this?
XboxSupport,15_05_2022_18_30,@115791 Can you show us what is appearing on your screen? ^RM
115791,15_05_2022_18_30,@XboxSupport This is what's on my screen? Not sure if it's Xbox side or my5 side that's broken? Last time it was my5 as had to call head office about it! https://t.co/jnMIVOlNbS
115791,15_05_2022_18_30,"@1520 @XboxSupport  the 5 app on Xboxes not working error code 200, done a power cycle and still the same? Please fix app"
AmazonHelp,15_05_2022_18_30,@115792 ご不便をおかけしております。アプリをご利用でしょうか。強制停止&gt;端末の再起動にて改善する場合がございますので、お試しください。改善しない場合は、状況を確認しご案内させていただきますのでこちらからカスタマーサービスまでご連絡ください。https://t.co/NtNAX2Qh2u ET
115792,15_05_2022_18_30,amazonプライムビデオ、再生エラーが多いです
nationalrailenq,15_05_2022_18_30,"@115793 @115794 Hi. Emergency services are dealing with an incident, info here: https://t.co/XSpQ4dhtvk"
115793,15_05_2022_18_30,"@115794 @115795 my colleagues @nationalrailenq for more info on how this is affecting services, thanks. 2/2 ^JP"
115794,15_05_2022_18_30,@115795 @115796 Ah maybe @115793 could help on this one
115795,15_05_2022_18_30,"@115794 @115796 Nothing, partner was on a train to Preston had to get a Taxi rest of way as was told no trains into Preston for a few hours"
115794,15_05_2022_18_30,@115795 @115796 What have you seen?
115795,15_05_2022_18_30,Something going on at Preston train station ? @115796
